,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Day 1,4,4,4,4,29,29,29,29,72,72,72,72,54,54,54,54,80,80,80,80,26,26,26,26,15,15,15,15,40,40,40,40,87,87,87,87,47,47,47,47,31,31,31,31,34,34,34,34,35,35,35,35,77,77,77,77,36,36,36,36,51,51,51,51,27,27,27,27,4,4,4,4
Day 2,7,7,7,7,21,21,21,21,50,50,50,50,118,118,118,118,62,62,62,62,54,54,54,54,27,27,27,27,77,77,77,77,45,45,45,45,42,42,42,42,46,46,46,46,73,73,73,73,53,53,53,53,86,86,86,86,45,45,45,45,37,37,37,37,26,26,26,26,19,19,19,19
Day 3,24,24,24,24,4,4,4,4,35,35,35,35,51,51,51,51,93,93,93,93,36,36,36,36,15,15,15,15,67,67,67,67,84,84,84,84,37,37,37,37,45,45,45,45,54,54,54,54,51,51,51,51,78,78,78,78,71,71,71,71,53,53,53,53,26,26,26,26,13,13,13,13
Day 4,12,12,12,12,19,19,19,19,38,38,38,38,76,76,76,76,47,47,47,47,21,21,21,21,6,6,6,6,62,62,62,62,48,48,48,48,44,44,44,44,38,38,38,38,19,19,19,19,43,43,43,43,55,55,55,55,70,70,70,70,40,40,40,40,39,39,39,39,13,13,13,13
Day 5,11,11,11,11,6,6,6,6,46,46,46,46,70,70,70,70,109,109,109,109,34,34,34,34,20,20,20,20,51,51,51,51,62,62,62,62,59,59,59,59,15,15,15,15,46,46,46,46,49,49,49,49,51,51,51,51,46,46,46,46,40,40,40,40,44,44,44,44,23,23,23,23
Day 6,8,8,8,8,15,15,15,15,54,54,54,54,109,109,109,109,53,53,53,53,35,35,35,35,28,28,28,28,51,51,51,51,69,69,69,69,66,66,66,66,32,32,32,32,48,48,48,48,52,52,52,52,60,60,60,60,38,38,38,38,40,40,40,40,11,11,11,11,6,6,6,6
Day 7,7,7,7,7,14,14,14,14,33,33,33,33,60,60,60,60,41,41,41,41,23,23,23,23,24,24,24,24,46,46,46,46,68,68,68,68,21,21,21,21,56,56,56,56,53,53,53,53,40,40,40,40,91,91,91,91,63,63,63,63,35,35,35,35,29,29,29,29,18,18,18,18
Day 8,11,11,11,11,9,9,9,9,64,64,64,64,29,29,29,29,53,53,53,53,44,44,44,44,23,23,23,23,40,40,40,40,52,52,52,52,32,32,32,32,43,43,43,43,64,64,64,64,43,43,43,43,57,57,57,57,28,28,28,28,47,47,47,47,20,20,20,20,16,16,16,16
Day 9,4,4,4,4,11,11,11,11,51,51,51,51,103,103,103,103,39,39,39,39,30,30,30,30,26,26,26,26,48,48,48,48,86,86,86,86,54,54,54,54,29,29,29,29,59,59,59,59,68,68,68,68,66,66,66,66,69,69,69,69,80,80,80,80,41,41,41,41,23,23,23,23
Day 10,4,4,4,4,14,14,14,14,49,49,49,49,66,66,66,66,41,41,41,41,29,29,29,29,29,29,29,29,55,55,55,55,43,43,43,43,66,66,66,66,22,22,22,22,48,48,48,48,76,76,76,76,89,89,89,89,44,44,44,44,63,63,63,63,40,40,40,40,12,12,12,12
Day 11,4,4,4,4,4,4,4,4,44,44,44,44,62,62,62,62,65,65,65,65,34,34,34,34,23,23,23,23,77,77,77,77,125,125,125,125,33,33,33,33,30,30,30,30,46,46,46,46,58,58,58,58,89,89,89,89,56,56,56,56,46,46,46,46,41,41,41,41,12,12,12,12
Day 12,17,17,17,17,11,11,11,11,39,39,39,39,70,70,70,70,61,61,61,61,36,36,36,36,17,17,17,17,63,63,63,63,97,97,97,97,48,48,48,48,18,18,18,18,55,55,55,55,44,44,44,44,60,60,60,60,70,70,70,70,39,39,39,39,37,37,37,37,14,14,14,14
Day 13,4,4,4,4,4,4,4,4,52,52,52,52,78,78,78,78,73,73,73,73,24,24,24,24,13,13,13,13,31,31,31,31,76,76,76,76,30,30,30,30,18,18,18,18,75,75,75,75,58,58,58,58,67,67,67,67,45,45,45,45,53,53,53,53,32,32,32,32,8,8,8,8
Day 14,5,5,5,5,9,9,9,9,66,66,66,66,71,71,71,71,93,93,93,93,67,67,67,67,30,30,30,30,40,40,40,40,107,107,107,107,50,50,50,50,53,53,53,53,18,18,18,18,43,43,43,43,53,53,53,53,75,75,75,75,33,33,33,33,8,8,8,8,6,6,6,6
Day 15,4,4,4,4,16,16,16,16,55,55,55,55,96,96,96,96,35,35,35,35,55,55,55,55,36,36,36,36,68,68,68,68,92,92,92,92,24,24,24,24,27,27,27,27,76,76,76,76,69,69,69,69,48,48,48,48,41,41,41,41,14,14,14,14,23,23,23,23,11,11,11,11
Day 16,7,7,7,7,4,4,4,4,33,33,33,33,74,74,74,74,28,28,28,28,33,33,33,33,23,23,23,23,58,58,58,58,46,46,46,46,50,50,50,50,36,36,36,36,61,61,61,61,52,52,52,52,82,82,82,82,54,54,54,54,34,34,34,34,16,16,16,16,8,8,8,8
Day 17,13,13,13,13,14,14,14,14,39,39,39,39,45,45,45,45,58,58,58,58,21,21,21,21,22,22,22,22,61,61,61,61,50,50,50,50,68,68,68,68,28,28,28,28,49,49,49,49,66,66,66,66,68,68,68,68,48,48,48,48,51,51,51,51,34,34,34,34,5,5,5,5
Day 18,4,4,4,4,8,8,8,8,48,48,48,48,65,65,65,65,47,47,47,47,43,43,43,43,30,30,30,30,41,41,41,41,50,50,50,50,48,48,48,48,29,29,29,29,46,46,46,46,48,48,48,48,103,103,103,103,67,67,67,67,45,45,45,45,54,54,54,54,12,12,12,12
Day 19,14,14,14,14,16,16,16,16,54,54,54,54,65,65,65,65,72,72,72,72,53,53,53,53,39,39,39,39,60,60,60,60,79,79,79,79,69,69,69,69,41,41,41,41,35,35,35,35,81,81,81,81,52,52,52,52,58,58,58,58,71,71,71,71,23,23,23,23,7,7,7,7
Day 20,6,6,6,6,14,14,14,14,56,56,56,56,50,50,50,50,66,66,66,66,32,32,32,32,35,35,35,35,58,58,58,58,71,71,71,71,52,52,52,52,40,40,40,40,64,64,64,64,63,63,63,63,53,53,53,53,66,66,66,66,55,55,55,55,21,21,21,21,9,9,9,9
Day 21,7,7,7,7,16,16,16,16,48,48,48,48,80,80,80,80,53,53,53,53,38,38,38,38,26,26,26,26,63,63,63,63,77,77,77,77,40,40,40,40,30,30,30,30,43,43,43,43,48,48,48,48,67,67,67,67,61,61,61,61,52,52,52,52,26,26,26,26,9,9,9,9
Day 22,15,15,15,15,19,19,19,19,54,54,54,54,66,66,66,66,60,60,60,60,36,36,36,36,26,26,26,26,87,87,87,87,68,68,68,68,81,81,81,81,22,22,22,22,37,37,37,37,77,77,77,77,69,69,69,69,55,55,55,55,21,21,21,21,13,13,13,13,6,6,6,6
Day 23,17,17,17,17,8,8,8,8,21,21,21,21,71,71,71,71,45,45,45,45,41,41,41,41,30,30,30,30,61,61,61,61,98,98,98,98,61,61,61,61,36,36,36,36,22,22,22,22,73,73,73,73,50,50,50,50,73,73,73,73,35,35,35,35,12,12,12,12,4,4,4,4
Day 24,4,4,4,4,10,10,10,10,45,45,45,45,109,109,109,109,31,31,31,31,40,40,40,40,38,38,38,38,41,41,41,41,77,77,77,77,50,50,50,50,22,22,22,22,69,69,69,69,115,115,115,115,52,52,52,52,57,57,57,57,69,69,69,69,36,36,36,36,7,7,7,7
Day 25,4,4,4,4,8,8,8,8,78,78,78,78,45,45,45,45,66,66,66,66,47,47,47,47,19,19,19,19,62,62,62,62,50,50,50,50,44,44,44,44,43,43,43,43,16,16,16,16,63,63,63,63,89,89,89,89,71,71,71,71,31,31,31,31,29,29,29,29,8,8,8,8
Day 26,11,11,11,11,6,6,6,6,57,57,57,57,50,50,50,50,42,42,42,42,29,29,29,29,23,23,23,23,51,51,51,51,76,76,76,76,32,32,32,32,44,44,44,44,55,55,55,55,78,78,78,78,78,78,78,78,46,46,46,46,28,28,28,28,31,31,31,31,33,33,33,33
Day 27,11,11,11,11,10,10,10,10,48,48,48,48,72,72,72,72,48,48,48,48,21,21,21,21,21,21,21,21,57,57,57,57,86,86,86,86,34,34,34,34,24,24,24,24,27,27,27,27,43,43,43,43,68,68,68,68,68,68,68,68,47,47,47,47,17,17,17,17,10,10,10,10
Day 28,22,22,22,22,10,10,10,10,22,22,22,22,64,64,64,64,59,59,59,59,18,18,18,18,22,22,22,22,34,34,34,34,70,70,70,70,49,49,49,49,61,61,61,61,50,50,50,50,71,71,71,71,62,62,62,62,44,44,44,44,18,18,18,18,37,37,37,37,17,17,17,17
Day 29,5,5,5,5,4,4,4,4,57,57,57,57,103,103,103,103,81,81,81,81,27,27,27,27,13,13,13,13,51,51,51,51,83,83,83,83,48,48,48,48,30,30,30,30,58,58,58,58,39,39,39,39,74,74,74,74,33,33,33,33,46,46,46,46,60,60,60,60,4,4,4,4
Day 30,4,4,4,4,14,14,14,14,32,32,32,32,86,86,86,86,50,50,50,50,53,53,53,53,18,18,18,18,43,43,43,43,82,82,82,82,51,51,51,51,21,21,21,21,67,67,67,67,63,63,63,63,96,96,96,96,26,26,26,26,50,50,50,50,29,29,29,29,4,4,4,4
Day 31,4,4,4,4,28,28,28,28,42,42,42,42,65,65,65,65,75,75,75,75,57,57,57,57,14,14,14,14,43,43,43,43,64,64,64,64,37,37,37,37,23,23,23,23,47,47,47,47,60,60,60,60,56,56,56,56,34,34,34,34,40,40,40,40,27,27,27,27,6,6,6,6
Day 32,4,4,4,4,14,14,14,14,34,34,34,34,69,69,69,69,26,26,26,26,39,39,39,39,21,21,21,21,38,38,38,38,76,76,76,76,45,45,45,45,35,35,35,35,54,54,54,54,66,66,66,66,92,92,92,92,59,59,59,59,52,52,52,52,30,30,30,30,16,16,16,16
Day 33,4,4,4,4,13,13,13,13,77,77,77,77,75,75,75,75,67,67,67,67,22,22,22,22,17,17,17,17,70,70,70,70,38,38,38,38,68,68,68,68,28,28,28,28,37,37,37,37,73,73,73,73,53,53,53,53,63,63,63,63,41,41,41,41,22,22,22,22,6,6,6,6
Day 34,5,5,5,5,12,12,12,12,36,36,36,36,74,74,74,74,105,105,105,105,54,54,54,54,21,21,21,21,49,49,49,49,97,97,97,97,49,49,49,49,23,23,23,23,47,47,47,47,82,82,82,82,46,46,46,46,64,64,64,64,29,29,29,29,22,22,22,22,19,19,19,19
Day 35,9,9,9,9,11,11,11,11,52,52,52,52,37,37,37,37,79,79,79,79,81,81,81,81,24,24,24,24,92,92,92,92,76,76,76,76,66,66,66,66,68,68,68,68,49,49,49,49,32,32,32,32,54,54,54,54,50,50,50,50,70,70,70,70,57,57,57,57,6,6,6,6